Country/Region,Date,Downloads,Revenue,Spend,Gross Margin,Gross Margin per Download,DAU,ARPDAU
Brazil,01/04/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/05/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/06/2017,3,0.0,0,0.0,0.0,0,N/A
Brazil,01/10/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/11/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/12/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/14/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/15/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/17/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/18/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/22/2017,1,0.12,0,0.12,0.12,0,N/A
Brazil,01/23/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/25/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/28/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/29/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,01/31/2017,2,0.0,0,0.0,0.0,0,N/A
Brazil,02/01/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,02/05/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,02/06/2017,2,0.0,0,0.0,0.0,0,N/A
Brazil,02/09/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,02/12/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,02/14/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,02/18/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,02/21/2017,2,0.0,0,0.0,0.0,0,N/A
Brazil,02/22/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,02/23/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,03/02/2017,2,0.05,0,0.05,0.02,0,N/A
Brazil,03/03/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,03/04/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,03/11/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,03/12/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,03/14/2017,2,0.0,0,0.0,0.0,0,N/A
Brazil,03/15/2017,2,0.0,0,0.0,0.0,0,N/A
Brazil,03/18/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,03/19/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,03/21/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,03/24/2017,4,0.0,0,0.0,0.0,0,N/A
Brazil,04/02/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,04/07/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,04/09/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,04/13/2017,1,0,0,0,0.0,0,N/A
Brazil,04/14/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,04/15/2017,2,0.02,0,0.02,0.01,0,N/A
Brazil,04/16/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,04/19/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,04/21/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,04/22/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,04/29/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,05/01/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,05/03/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,05/14/2017,2,0.05,0,0.05,0.02,0,N/A
Brazil,05/18/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,05/23/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,05/25/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,05/29/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,05/30/2017,2,0.0,0,0.0,0.0,0,N/A
Brazil,06/02/2017,1,0.02,0,0.02,0.02,0,N/A
Brazil,06/04/2017,1,0,0,0,0.0,0,N/A
Brazil,06/05/2017,1,0,0,0,0.0,0,N/A
Brazil,06/07/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,06/10/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,06/11/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,06/17/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,06/18/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,06/20/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,06/25/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,07/05/2017,2,0.0,0,0.0,0.0,0,N/A
Brazil,07/06/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,07/09/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,07/12/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,07/16/2017,2,0.06,0,0.06,0.03,0,N/A
Brazil,07/19/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,07/21/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,07/23/2017,1,0.01,0,0.01,0.01,0,N/A
Brazil,07/25/2017,1,0.11,0,0.11,0.11,0,N/A
Brazil,07/30/2017,2,0.0,0,0.0,0.0,0,N/A
Brazil,08/01/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,08/07/2017,2,0.0,0,0.0,0.0,0,N/A
Brazil,08/10/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,08/12/2017,0,0.04,0,0.04,N/A,0,N/A
Brazil,08/19/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,08/22/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,08/23/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,08/28/2017,3,0.0,0,0.0,0.0,0,N/A
Brazil,08/29/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,09/04/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,09/08/2017,2,0.0,0,0.0,0.0,0,N/A
Brazil,09/09/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,09/18/2017,1,0.13,0,0.13,0.13,0,N/A
Brazil,09/20/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,09/21/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,09/22/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,09/26/2017,1,0.06,0,0.06,0.06,0,N/A
Brazil,09/27/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,09/28/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,10/02/2017,2,0.0,0,0.0,0.0,0,N/A
Brazil,10/04/2017,2,0.21,0,0.21,0.11,0,N/A
Brazil,10/11/2017,2,0.0,0,0.0,0.0,0,N/A
Brazil,10/13/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,10/15/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,10/16/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,10/19/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,10/20/2017,3,0.04,0,0.04,0.01,0,N/A
Brazil,10/22/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,10/24/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,10/25/2017,2,0.0,0,0.0,0.0,0,N/A
Brazil,10/30/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,10/31/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,11/02/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,11/04/2017,2,0.0,0,0.0,0.0,0,N/A
Brazil,11/08/2017,1,0,0,0,0.0,0,N/A
Brazil,11/12/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,11/13/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,11/19/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,11/25/2017,1,0,0,0,0.0,0,N/A
Brazil,11/26/2017,2,0.0,0,0.0,0.0,0,N/A
Brazil,11/29/2017,1,0.0,0,0.0,0.0,0,N/A
Brazil,12/01/2017,1,0,0,0,0.0,0,N/A
Brazil,12/06/2017,2,0.07,0,0.07,0.03,0,N/A
Brazil,12/08/2017,2,0.0,0,0.0,0.0,0,N/A
